nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-05-14,1022,90,1112,48.110442,17.127512,Centrum,Petržalka,2,0,5,2025
#1 - Starý Most,2025-05-15,615,61,676,48.110442,17.127512,Centrum,Petržalka,3,0,5,2025
#1 - Starý Most,2025-05-16,585,71,656,48.110442,17.127512,Centrum,Petržalka,4,0,5,2025
#1 - Starý Most,2025-05-17,465,38,503,48.110442,17.127512,Centrum,Petržalka,5,1,5,2025
#1 - Starý Most,2025-05-18,213,17,230,48.110442,17.127512,Centrum,Petržalka,6,1,5,2025
#1 - Starý Most,2025-05-19,551,55,606,48.110442,17.127512,Centrum,Petržalka,0,0,5,2025
#1 - Starý Most,2025-05-20,1070,73,1143,48.110442,17.127512,Centrum,Petržalka,1,0,5,2025
#1 - Starý Most,2025-05-21,968,82,1050,48.110442,17.127512,Centrum,Petržalka,2,0,5,2025
#1 - Starý Most,2025-05-22,597,59,656,48.110442,17.127512,Centrum,Petržalka,3,0,5,2025
#1 - Starý Most,2025-05-23,579,51,630,48.110442,17.127512,Centrum,Petržalka,4,0,5,2025
#1 - Starý Most,2025-05-24,808,51,859,48.110442,17.127512,Centrum,Petržalka,5,1,5,2025
#1 - Starý Most,2025-05-25,861,77,938,48.110442,17.127512,Centrum,Petržalka,6,1,5,2025
#1 - Starý Most,2025-05-26,400,60,460,48.110442,17.127512,Centrum,Petržalka,0,0,5,2025
#1 - Starý Most,2025-05-27,966,79,1045,48.110442,17.127512,Centrum,Petržalka,1,0,5,2025
#1 - Starý Most,2025-05-28,835,71,906,48.110442,17.127512,Centrum,Petržalka,2,0,5,2025
#1 - Starý Most,2025-05-29,642,65,707,48.110442,17.127512,Centrum,Petržalka,3,0,5,2025
#1 - Starý Most,2025-05-30,842,69,911,48.110442,17.127512,Centrum,Petržalka,4,0,5,2025
#1 - Starý Most,2025-05-31,913,77,990,48.110442,17.127512,Centrum,Petržalka,5,1,5,2025
#1 - Starý Most,2025-06-01,974,76,1050,48.110442,17.127512,Centrum,Petržalka,6,1,6,2025
#1 - Starý Most,2025-06-02,936,90,1026,48.110442,17.127512,Centrum,Petržalka,0,0,6,2025
#1 - Starý Most,2025-06-03,825,81,906,48.110442,17.127512,Centrum,Petržalka,1,0,6,2025
